searge,name,side,desc
func_238419_a_,getFont,0,
func_238405_a_,drawStringWithShadow,0,
func_238421_b_,drawString,0,
func_228078_a_,renderString,0,
func_238413_a_,trimStringToWidth,0,
func_238412_a_,trimStringToWidth,0,
func_230430_a_,render,0,
func_231049_c__,changeFocus,0,
func_231042_a_,charTyped,0,
func_231046_a_,keyPressed,0,
func_231047_b_,isMouseOver,0,
func_231043_a_,mouseScrolled,0,
func_231045_a_,mouseDragged,0,
func_231048_c_,mouseReleased,0,
func_231044_a_,mouseClicked,0,
func_231168_h_,isPaste,0,
func_231169_i_,isCopy,0,
func_231170_j_,isSelectAll,0,
func_231166_g_,isCut,0,
func_231174_t_,hasAltDown,0,
func_231173_s_,hasShiftDown,0,
func_231172_r_,hasControlDown,0,
func_231156_a_,openLink,0,
func_231177_au__,isPauseScreen,0,
func_231165_f_,renderDirtBackground,0,
func_238651_a_,renderBackground,0,
func_230446_a_,renderBackground,0,
func_231164_f_,removed,0,
func_231023_e_,tick,0,
func_231160_c_,init,0,
func_231158_b_,init,0,
func_231154_a_,isValidCharacterForName,0,
func_231153_a_,wrapScreenError,0,
func_231152_a_,resize,0,
func_238420_b_,getCharacterManager,0,
func_238425_b_,listTextToWidth,0,
func_235657_b_,create,2,
func_230337_a_,read,2,
func_231171_q_,getTitle,0,
func_231167_h_,getNarrationMessage,0,
func_231178_ax__,shouldCloseOnEsc,0,
func_231175_as__,onClose,0,
func_230480_a_,addButton,0,
func_230481_d_,addChild,0,
func_230450_a_,drawGuiContainerBackgroundLayer,0,
func_230451_b_,drawGuiContainerForegroundLayer,0,
func_238465_a_,hLine,0,
func_238473_b_,vLine,0,
func_238467_a_,fill,0,
func_238460_a_,fill,0,
func_238468_a_,fillGradient,0,
func_230926_e_,setBlitOffset,0,
func_230927_p_,getBlitOffset,0,
func_238461_a_,innerBlit,0,
func_238469_a_,innerBlit,0,
func_238463_a_,blit,0,
func_238466_a_,blit,0,
func_238464_a_,blit,0,
func_238474_b_,blit,0,
func_238470_a_,blit,0,
func_235905_a_,getPropertyName,2,
func_235896_a_,cycle,2,
func_235898_a_,cyclePropertyValue,2,
func_235904_r_,getProperties,2,
func_235901_b_,has,2,
func_235899_a_,buildPropertyValueTable,2,
func_235902_b_,getPropertiesWithValue,2,
func_240970_h_,getResourceManager,2,
func_240969_g_,getAdvancementManager,2,
func_240968_f_,getCommands,2,
func_240967_e_,getRecipeManager,2,
func_240966_d_,getNetworkTagManager,2,
func_240965_c_,getLootTableManager,2,
func_240964_b_,getLootPredicateManager,2,
func_240960_a_,getFunctionReloader,2,
func_240961_a_,create,2,
func_240521_a_,copy,2,
func_240522_a_,getBuilder,2,
func_240534_a_,add,2,
